ÑµÁ·²ÎÊý: epochs=100, batch_size=32
Epoch 1: loss=3.2674, val_acc=0.0000
Epoch 2: loss=4.4247, val_acc=0.0000
Epoch 3: loss=2.4854, val_acc=0.0000
Epoch 4: loss=2.3498, val_acc=0.0000
Epoch 5: loss=2.2975, val_acc=0.0000
Epoch 6: loss=2.2765, val_acc=0.0000
Epoch 7: loss=2.2609, val_acc=0.0000
Epoch 8: loss=2.2608, val_acc=0.0000
Epoch 9: loss=2.2597, val_acc=0.0000
Epoch 10: loss=2.2472, val_acc=0.0000
Epoch 11: loss=2.2598, val_acc=0.0000
Epoch 12: loss=2.2430, val_acc=0.0000
Epoch 13: loss=2.2568, val_acc=0.0000
Epoch 14: loss=2.2508, val_acc=0.0000
Epoch 15: loss=2.2494, val_acc=0.0000
Epoch 16: loss=2.2477, val_acc=0.0000
Epoch 17: loss=2.2603, val_acc=0.0000
Epoch 18: loss=2.2412, val_acc=0.0000
Epoch 19: loss=2.2510, val_acc=0.0000
Epoch 20: loss=2.2634, val_acc=0.0000
Epoch 21: loss=2.2426, val_acc=0.0000
Epoch 22: loss=2.2581, val_acc=0.0000
Epoch 23: loss=2.2566, val_acc=0.0000
Epoch 24: loss=2.2644, val_acc=0.0000
Epoch 25: loss=2.2573, val_acc=0.0000
Epoch 26: loss=2.2601, val_acc=0.0000
Epoch 27: loss=2.2644, val_acc=0.0000
Epoch 28: loss=2.2647, val_acc=0.0000
Epoch 29: loss=2.2707, val_acc=0.0000
Epoch 30: loss=2.2531, val_acc=0.0000
Epoch 31: loss=2.2516, val_acc=0.0000
Epoch 32: loss=2.2575, val_acc=0.0000
Epoch 33: loss=2.2515, val_acc=0.0000
Epoch 34: loss=2.2546, val_acc=0.0000
Epoch 35: loss=2.2519, val_acc=0.0000
Epoch 36: loss=2.2585, val_acc=0.0000
Epoch 37: loss=2.2525, val_acc=0.0000
Epoch 38: loss=2.2575, val_acc=0.0000
Epoch 39: loss=2.2534, val_acc=0.0000
Epoch 40: loss=2.2597, val_acc=0.0000
Epoch 41: loss=2.2580, val_acc=0.0000
Epoch 42: loss=2.2491, val_acc=0.0000
Epoch 43: loss=2.2531, val_acc=0.0000
Epoch 44: loss=2.2437, val_acc=0.0000
Epoch 45: loss=2.2553, val_acc=0.0000
Epoch 46: loss=2.2547, val_acc=0.0000
Epoch 47: loss=2.2539, val_acc=0.0000
Epoch 48: loss=2.2548, val_acc=0.0000
Epoch 49: loss=2.2488, val_acc=0.0000
Epoch 50: loss=2.2478, val_acc=0.0000
Epoch 51: loss=2.2595, val_acc=0.0000
Epoch 52: loss=2.2554, val_acc=0.0000
Epoch 53: loss=2.2609, val_acc=0.0000
Epoch 54: loss=2.2472, val_acc=0.0000
Epoch 55: loss=2.2588, val_acc=0.0000
Epoch 56: loss=2.2545, val_acc=0.0000
Epoch 57: loss=2.2551, val_acc=0.0000
Epoch 58: loss=2.2524, val_acc=0.0000
Epoch 59: loss=2.2562, val_acc=0.0000
Epoch 60: loss=2.2599, val_acc=0.0000
Epoch 61: loss=2.2691, val_acc=0.0000
Epoch 62: loss=2.2585, val_acc=0.0000
Epoch 63: loss=2.2407, val_acc=0.0000
Epoch 64: loss=2.2483, val_acc=0.0000
Epoch 65: loss=2.2434, val_acc=0.0000
Epoch 66: loss=2.2614, val_acc=0.0000
Epoch 67: loss=2.2722, val_acc=0.0000
Epoch 68: loss=2.2634, val_acc=0.0000
Epoch 69: loss=2.2593, val_acc=0.0000
Epoch 70: loss=2.2609, val_acc=0.0000
Epoch 71: loss=2.2542, val_acc=0.0000
Epoch 72: loss=2.2436, val_acc=0.0000
Epoch 73: loss=2.2492, val_acc=0.0000
Epoch 74: loss=2.2558, val_acc=0.0000
Epoch 75: loss=2.2581, val_acc=0.0000
Epoch 76: loss=2.2501, val_acc=0.0000
Epoch 77: loss=2.2678, val_acc=0.0000
Epoch 78: loss=2.2581, val_acc=0.0000
Epoch 79: loss=2.2589, val_acc=0.0000
Epoch 80: loss=2.2492, val_acc=0.0000
Epoch 81: loss=2.2419, val_acc=0.0000
Epoch 82: loss=2.2473, val_acc=0.0000
Epoch 83: loss=2.2621, val_acc=0.0000
Epoch 84: loss=2.2624, val_acc=0.0000
Epoch 85: loss=2.2570, val_acc=0.0000
Epoch 86: loss=2.2525, val_acc=0.0000
Epoch 87: loss=2.2558, val_acc=0.0000
Epoch 88: loss=2.2505, val_acc=0.0000
Epoch 89: loss=2.2527, val_acc=0.0000
Epoch 90: loss=2.2532, val_acc=0.0000
Epoch 91: loss=2.2540, val_acc=0.0000
Epoch 92: loss=2.2557, val_acc=0.0000
Epoch 93: loss=2.2463, val_acc=0.0000
Epoch 94: loss=2.2469, val_acc=0.0000
Epoch 95: loss=2.2560, val_acc=0.0000
Epoch 96: loss=2.2543, val_acc=0.0000
Epoch 97: loss=2.2467, val_acc=0.0000
Epoch 98: loss=2.2474, val_acc=0.0000
Epoch 99: loss=2.2465, val_acc=0.0000
Epoch 100: loss=2.2659, val_acc=0.0000
